date,time,temp,wspeed,wdirection,humidity,pressure,visibility,
1-Jan-2020,00:00,5,0,↑,93,1020,5
1-Jan-2020,01:00,5,4,↑,87,1019,4,
1-Jan-2020,02:00,5,4,↑,87,1019,4,
1-Jan-2020,03:00,5,4,↑,87,1019,4,
1-Jan-2020,04:00,4,0,↑,87,1019,4,
1-Jan-2020,05:00,4,0,↑,93,1018,4,
1-Jan-2020,06:00,5,0,↑,87,1018,4,
1-Jan-2020,07:00,6,0,↑,87,1018,4,
1-Jan-2020,08:00,6,6,↑,87,1018,3,
1-Jan-2020,09:00,7,6,↑,81,1019,2,
1-Jan-2020,10:00,9,0,↑,76,1018,3,
1-Jan-2020,11:00,11,0,↑,58,1018,4,
1-Jan-2020,12:00,12,0,↑,54,1017,5,
1-Jan-2020,13:00,13,9,↑,51,1016,5,
1-Jan-2020,14:00,12,7,↑,58,1016,4,
1-Jan-2020,15:00,13,9,↑,44,1016,4,
1-Jan-2020,16:00,12,9,↑,47,1016,5,
1-Jan-2020,17:00,11,6,↑,50,1017,5,
1-Jan-2020,18:00,10,0,↑,62,1017,5,
1-Jan-2020,19:00,9,0,↑,71,1017,5,
1-Jan-2020,20:00,8,0,↑,76,1017,4,
1-Jan-2020,21:00,8,0,↑,76,1017,5,
1-Jan-2020,22:00,7,0,↑,76,1017,5,
1-Jan-2020,23:00,7,0,↑,87,1016,5,
2-Jan-2020,00:00,5,0,↑,93,1020,5
2-Jan-2020,01:00,5,4,↑,87,1019,4,
2-Jan-2020,02:00,5,4,↑,87,1019,4,
2-Jan-2020,03:00,5,4,↑,87,1019,4,
2-Jan-2020,04:00,4,0,↑,87,1019,4,
2-Jan-2020,05:00,4,0,↑,93,1018,4,
2-Jan-2020,06:00,5,0,↑,87,1018,4,
2-Jan-2020,07:00,6,0,↑,87,1018,4,
2-Jan-2020,08:00,6,6,↑,87,1018,3,
2-Jan-2020,09:00,7,6,↑,81,1019,2,
2-Jan-2020,10:00,9,0,↑,76,1018,3,
2-Jan-2020,11:00,11,0,↑,58,1018,4,
2-Jan-2020,12:00,12,0,↑,54,1017,5,
2-Jan-2020,13:00,13,9,↑,51,1016,5,
2-Jan-2020,14:00,12,7,↑,58,1016,4,
2-Jan-2020,15:00,13,9,↑,44,1016,4,
2-Jan-2020,16:00,12,9,↑,47,1016,5,
2-Jan-2020,17:00,11,6,↑,50,1017,5,
2-Jan-2020,18:00,10,0,↑,62,1017,5,
2-Jan-2020,19:00,9,0,↑,71,1017,5,
2-Jan-2020,20:00,8,0,↑,76,1017,4,
2-Jan-2020,21:00,8,0,↑,76,1017,5,
2-Jan-2020,22:00,7,0,↑,76,1017,5,
2-Jan-2020,23:00,7,0,↑,87,1016,5,
3-Jan-2020,00:00,7,0,↑,81,1016,5
